Year,Cuat,tasa.paro,Genero,prov,Provincias
2014,2,19.8820503168329,Mujeres,28,Madrid
2014,3,18.9697465249387,Mujeres,28,Madrid
2014,4,17.6388720803582,Mujeres,28,Madrid
2011,1,33.1012474615608,Mujeres,29,Málaga
2011,2,29.4656037791556,Mujeres,29,Málaga
2011,3,30.4436660828955,Mujeres,29,Málaga
2011,4,30.4360381172394,Mujeres,29,Málaga
2012,1,35.0194552529183,Mujeres,29,Málaga
2012,2,32.6039387308534,Mujeres,29,Málaga
2012,3,32.4405575293796,Mujeres,29,Málaga
2012,4,33.7121212121212,Mujeres,29,Málaga
2013,1,35.0027670171555,Mujeres,29,Málaga
2013,2,34.8792535675082,Mujeres,29,Málaga
2013,3,33.3240611961057,Mujeres,29,Málaga
2013,4,34.7398030942335,Mujeres,29,Málaga
2014,1,36.7835281023929,Mujeres,29,Málaga
2014,2,33.0240174672489,Mujeres,29,Málaga
2014,3,32.3465507876154,Mujeres,29,Málaga
2014,4,30.9725158562368,Mujeres,29,Málaga
2011,1,24.9677835051546,Mujeres,30,Murcia
2011,2,23.6943907156673,Mujeres,30,Murcia
2011,3,24.634858812074,Mujeres,30,Murcia
2011,4,26.5170670037927,Mujeres,30,Murcia
2012,1,25.4119138149556,Mujeres,30,Murcia
2012,2,25.990639625585,Mujeres,30,Murcia
2012,3,28.0750307503075,Mujeres,30,Murcia
2012,4,30.0220750551876,Mujeres,30,Murcia
2013,1,29.3213828425096,Mujeres,30,Murcia
2013,2,29.5483460559796,Mujeres,30,Murcia
2013,3,29.3303992455203,Mujeres,30,Murcia
2013,4,29.9053627760252,Mujeres,30,Murcia
2014,1,28.2574568288854,Mujeres,30,Murcia
2014,2,28.1113195747342,Mujeres,30,Murcia
2014,3,30.3145853193518,Mujeres,30,Murcia
2014,4,29.7845769591008,Mujeres,30,Murcia
2011,1,14.3252595155709,Mujeres,31,Navarra
2011,2,13.0615065653075,Mujeres,31,Navarra
2011,3,12.0331950207469,Mujeres,31,Navarra
2011,4,14.4827586206897,Mujeres,31,Navarra
2012,1,15.6944444444444,Mujeres,31,Navarra
2012,2,14.3835616438356,Mujeres,31,Navarra
2012,3,14.3955276030748,Mujeres,31,Navarra
2012,4,17.6268861454047,Mujeres,31,Navarra
2013,1,20.5821205821206,Mujeres,31,Navarra
2013,2,18.4637068357999,Mujeres,31,Navarra
2013,3,18.8076650106458,Mujeres,31,Navarra
2013,4,17.5301632363378,Mujeres,31,Navarra
2014,1,18.5416666666667,Mujeres,31,Navarra
2014,2,16.3380281690141,Mujeres,31,Navarra
2014,3,14.1449683321605,Mujeres,31,Navarra
2014,4,14.8981026001405,Mujeres,31,Navarra
2011,1,18.7692307692308,Mujeres,32,Ourense
2011,2,18.3823529411765,Mujeres,32,Ourense
2011,3,18.2634730538922,Mujeres,32,Ourense
2011,4,19.0265486725664,Mujeres,32,Ourense
2012,1,22.0059880239521,Mujeres,32,Ourense
2012,2,21.0445468509985,Mujeres,32,Ourense
2012,3,22.3227752639517,Mujeres,32,Ourense
2012,4,22.9483282674772,Mujeres,32,Ourense
