,att_main_0,att_main_1,att_main_2,att_main_3,att_main_4,att_main_5,att_main_6,att_main_7,att_main_8,att_main_9,att_main_10,att_main_11,att_main_12,att_main_13,att_main_14,att_main_15,att_build_0,att_build_1,att_build_2,att_build_3,att_equipment_0,att_equipment_1,att_equipment_2,att_equipment_3,att_equipment_4,att_location_0,att_location_1,att_location_2,att_location_3,att_location_4,att_location_5,att_location_6,att_location_7,att_location_8,price
39529180," 94 m² construidos, 70 m² útiles ", 2 habitaciones , 1 baño , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Certificación energética: en trámite ,,,,,,,,,,, Planta 6ª , Con ascensor ,,, Piscina , Jardín ,,,,"Calle fuente cisneros, 32", Barrio Parque oeste - Fuente Cisneros , Distrito Parque oeste - Fuente Cisneros , Alcorcón ," Zona sur, Madrid ",,,,,255.000
39535517," 75 m² construidos, 70 m² útiles ", 1 habitación , 1 baño , Terraza , Segunda mano/buen estado , Armarios empotrados , Trastero , Orientación sur , Construido en 1999 , Certificación energética: en trámite , Acceso adaptado a personas con movilidad reducida ,,,,,, Planta 8ª exterior , Con ascensor ,,, Aire acondicionado , Piscina , Jardín ,,, carballino, Barrio Valderas - Los Castillos , Distrito Valderas - Los Castillos , Alcorcón ," Zona sur, Madrid ",,,,,172.000
37661148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39577520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39598110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39310223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
31263812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[None]
39689694, 100 m² construidos , 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Piscina , Jardín ,,,, Copenhague, Barrio Parque oeste - Fuente Cisneros , Distrito Parque oeste - Fuente Cisneros , Alcorcón ," Zona sur, Madrid ",,,,,273.000
39725636," 137 m² construidos, 99 m² útiles ", 3 habitaciones , 3 baños , Terraza , Balcón , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados ," Orientación este, oeste ", Construido en 1992 , Certificación energética: en trámite ,,,,,, Planta 4ª exterior , Con ascensor ,,,,,,,,Paseo de Extremadura, Barrio Zona Renfe , Distrito Centro , Alcorcón ," Zona sur, Madrid ",,,,,245.000
39744789," 117 m² construidos, 100 m² útiles ", 3 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética: en trámite ,,,,,,,,, Planta 3ª exterior , Con ascensor ,,, Piscina ,,,,,Calle los arces, Barrio Prado de Santo Domingo , Distrito Prado de Santo Domingo , Alcorcón ," Zona sur, Madrid ",,,,,260.000
39731144, 81 m² construidos , 2 habitaciones , 2 baños , Plaza de garaje incluida en el precio , Segunda mano/buen estado , Armarios empotrados , Trastero , Certificación energética:  (IPE no indicado) ,,,,,,,,, Planta 4ª exterior , Con ascensor ,,, Piscina ,,,,," Juan Ramon Jimenez, 10", Barrio Prado de Santo Domingo , Distrito Prado de Santo Domingo , Alcorcón ," Zona sur, Madrid ",,,,,199.000
39726820, 72 m² construidos , 3 habitaciones , 1 baño , Segunda mano/buen estado , Armarios empotrados , Certificación energética: no indicado ,,,,,,,,,,, Planta 7ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,"Calle Sahagún, 18", Distrito Bellasvistas - Hipercor , Alcorcón ," Zona sur, Madrid ",,,,,,160.000
39746172, 67 m² construidos , 3 habitaciones , 1 baño , Terraza , Segunda mano/buen estado , Certificación energética del edificio terminado: en trámite ,,,,,,,,,,, Planta 8ª exterior , Con ascensor ,,, Aire acondicionado ,,,,,, Barrio Valderas - Los Castillos , Distrito Valderas - Los Castillos , Alcorcón ," Zona sur, Madrid ",,,,,139.000
