^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
39535465^ 135 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^219900
39535608^ 100 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Jardín ^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^159900
39535673^ 123 m² construidos, 115 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Construido en 1984 ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^191000
39535721^ 80 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^124900
39535775^ 100 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^139900
39535998^ 135 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^199900
39536014^ 69 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Construido en 1976 ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 1ª exterior ^ Sin ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^127000
39536178^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^149900
39536630^ 139 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Urb. IVIASA III^ Urb. IVIASA III ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^214900
39536652^ 100 m² construidos ^ 4 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^149900
39536843^ 80 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Jardín ^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^145900
39537510^ 100 m² construidos ^ 4 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^179900
39537817^ 79 m² construidos, 70 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Avenida Dos de Mayo^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^134500
39537923^ 65 m² construidos ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^121900
39539209^ 150 m² construidos, 140 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^195000
39539733^ 95 m² construidos, 70 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación oeste ^ Certificación energética: no indicado ^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Nápoles, 17^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^215000
39541161^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^149000
39543750^ 75 m² construidos, 66 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Construido en 1976 ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Avenida Dos de Mayo^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^134500
39543931^ 110 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^159900
39545338^ 54 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Orientación este ^ Construido en 1970 ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 3ª exterior ^ Sin ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^78840
39550269^ 60 m² construidos ^ 1 habitación ^ 2 baños ^ Terraza ^ Balcón ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 1ª exterior ^ Sin ascensor ^^^^^^^^Urb. PRADILLO-SEMINUEVO-LUMINOSO^ Urb. PRADILLO-SEMINUEVO-LUMINOSO ^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^99900
39552696^ 90 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Paseo de Goya s/n^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^139900
39556630^ 88 m² construidos, 85 m² útiles ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/para reformar ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^ Entreplanta exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^94999
39556722^ 110 m² construidos, 105 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Jardín ^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^180000
39557215^ 110 m² construidos, 75 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación oeste ^ Construido en 2015 ^ Certificación energética: en trámite ^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Piscina ^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^219990
39557292^ 60 m² construidos ^ 2 habitaciones ^ 2 baños ^ Segunda mano/para reformar ^ Certificación energética: en trámite ^^^^^^^^^^^^ Bajo exterior ^ Con ascensor ^^^^^^^^ la paz s/n^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^65000
39557367^ 95 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje por 11.000 eur adicionales ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^136999
39557569^ 110 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^225000
39557628^ 109 m² construidos, 96 m² útiles ^ 4 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación oeste ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 1ª exterior ^ Sin ascensor ^^^ Aire acondicionado ^^^^^ Carcavilla, 2^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^175000
39561335^ 75 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 1ª exterior ^ Sin ascensor ^^^^^^^^ Burgos^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^106000
39561912^ 65 m² construidos, 54 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética:  (322 kWh/m² año) ^^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^ Jardín ^^^^^Calle parque vosa^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^119300
39565829^ 117 m² construidos, 78 m² útiles ^ 3 habitaciones ^ 2 baños ^ Balcón ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1999 ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^ Violeta^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^189000
39566433^ 110 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^149900
39566483^ 110 m² construidos, 100 m² útiles ^ 4 habitaciones ^ 2 baños ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^165000
39566543^ 100 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^164900
39568043^ 104 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto:  (IPE no indicado) ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Abogados de Atocha, 7^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^219000
39568050^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto:  (IPE no indicado) ^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Abogados de Atocha, 7^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^226000
39568054^ 105 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto:  (IPE no indicado) ^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida Abogados de Atocha, 7^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^222000
39568564^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^108000
39568949^ 100 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Dalia^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^189000
39572016^ 110 m² construidos, 90 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación norte ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Calle Pintor Ribera, 2^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^250000
39572183^ 133 m² construidos, 108 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Armarios empotrados ^ Trastero ^ Orientación sur, oeste ^ Certificación energética:  (IPE no indicado) ^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Jardín ^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^173000
39572290^ 70 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1974 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Sin ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^97000
39572687^ 125 m² construidos, 108 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur, este ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^149700
39573328^ 70 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/para reformar ^ Construido en 1970 ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^^^^^^Travesía de la rejilla^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^89000
39573349^ 80 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^Calle Carcavilla, 3^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^130000
39575403^ 92 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación oeste ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^^^^^^Calle Nazaret^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^135000
39578321^ 75 m² construidos, 70 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Trastero ^ Orientación este ^ Certificación energética:  (204 kWh/m² año) ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Urb. corona verde^ Urb. corona verde ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^115000
39578323^ 65 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 2ª exterior ^ Sin ascensor ^^^ Jardín ^^^^^Calle Parque Vosa^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^119300
39580906^ 90 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Trastero ^ Orientación este, oeste ^ Construido en 1980 ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^ VERACRUZ^ Urb. LAS SIRENAS ^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^152000
39581215^ 90 m² construidos, 85 m² útiles ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^ Planta 9ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle Carlos V^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^200000
39581332^ 75 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Construido en 1978 ^ Certificación energética: no indicado ^^^^^^^^^ Planta 4ª exterior ^ Sin ascensor ^^^^^^^^Avenida de Portugal^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^110000
39581516^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Balcón ^ Segunda mano/buen estado ^ Orientación este ^ Construido en 1968 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Sin ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^127200
39581838^ 68 m² construidos ^ 3 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: no indicado ^^^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^110000
39584118^ 140 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Balcón ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este ^ Construido en 2012 ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^ Pegaso^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^250000
39585745^ 170 m² construidos, 155 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^Avenida de la Constitución^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^195000
39586357^ 87 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Trastero ^ Orientación este ^ Certificación energética: en trámite ^^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^^^^^^ dos de mayo^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^144000
39592211^ 90 m² construidos ^ 3 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1999 ^ Certificación energética: en trámite ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^ Violeta^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^189000
39593591^ 75 m² construidos, 70 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^134900
39596009^ 120 m² construidos, 105 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur, este ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Piscina ^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^149000
39596256^ 90 m² construidos, 80 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur, este ^ Certificación energética: en trámite ^ Acceso adaptado a personas con movilidad reducida ^ Vivienda apta para su uso por personas con movilidad reducida ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^143000
39597112^ 120 m² construidos ^ 4 habitaciones ^ 2 baños ^ Segunda mano/para reformar ^ Orientación este ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 2ª ^ Con ascensor ^^^^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^185000
39600065^ 80 m² construidos, 72 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Orientación sur, este ^ Construido en 1970 ^ Certificación energética: no indicado ^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^136200
39601328^ 85 m² construidos ^ 3 habitaciones ^ 1 baño ^ Trastero ^ Orientación norte, este ^ Certificación energética: no indicado ^^^^^^^^^^^ exterior ^ Con ascensor ^^^^^^^^Calle de cervantes^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^140000
39602896^ 105 m² construidos ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Jardín ^^^^^^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^179000
39603026^ 125 m² construidos, 108 m² útiles ^ 4 habitaciones ^ 2 baños ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Piscina ^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^189000
39603027^ 125 m² construidos, 108 m² útiles ^ 4 habitaciones ^ 2 baños ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^185900
39604783^ 77 m² construidos ^ 2 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^^^^^^Avenida del dos de Mayo^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^134000
39605325^ 100 m² construidos, 84 m² útiles ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Balcón ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 2001 ^ Certificación energética:  (IPE no indicado) ^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle Río Odiel, 6^ Urb. Urbanización con piscina y 2 parques ^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^180000
39605521^ 125 m² construidos, 121 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Calle Río Jalón^ Distrito Suroeste ^ Móstoles ^ Zona sur, Madrid ^^^^^^199000
39605643^ 85 m² construidos, 75 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^142000
39605790^ 75 m² construidos ^ 2 habitaciones ^ 1 baño ^ Segunda mano/buen estado ^ Certificación energética: en trámite ^^^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^^^^^^^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^160000
39606774^ 75 m² construidos, 65 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/para reformar ^ Armarios empotrados ^ Certificación energética: en trámite ^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^^^^^^Calle Parque Vosa^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^119500
39608232^ 90 m² construidos, 80 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética: no indicado ^^^^^^^^^^ Planta 10ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^^ Distrito Este ^ Móstoles ^ Zona sur, Madrid ^^^^^^159000
