^att_main_0^att_main_1^att_main_2^att_main_3^att_main_4^att_main_5^att_main_6^att_main_7^att_main_8^att_main_9^att_main_10^att_main_11^att_main_12^att_main_13^att_main_14^att_main_15^att_build_0^att_build_1^att_build_2^att_build_3^att_equipment_0^att_equipment_1^att_equipment_2^att_equipment_3^att_equipment_4^att_location_0^att_location_1^att_location_2^att_location_3^att_location_4^att_location_5^att_location_6^att_location_7^att_location_8^price
34355788^ 80 m² construidos, 75 m² útiles ^ 2 habitaciones ^ 1 baño ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Calle de la haya, 30^ Distrito Coimbra - Guadarrama ^ Móstoles ^ Zona sur, Madrid ^^^^^^159000
34664666^ 137 m² construidos ^ 4 habitaciones ^ 2 baños ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^^ exterior ^ Con ascensor ^^^ Piscina ^ Jardín ^^^^Avenida de la Osa menor, 34^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^246000
35081037^ 240 m² construidos, 230 m² útiles ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación sur ^ Certificación energética: en trámite ^^^^^^^^ Planta 7ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Alonso Cano, 2^ Urb. Estoril 2 ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^300000
35133257^ 90 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Certificación energética: en trámite ^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^^^^^Calle de Orión, 45^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^176950
35151374^ 55 m² construidos, 50 m² útiles ^ Sin habitación ^ 1 baño ^ Terraza ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Orientación este ^ Certificación energética: no indicado ^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Jardín ^^^^Carretera Mostoles a Villaviciosa de Odon, 1^ Urb. MOMA LOFT ^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^195000
35243722^ 250 m² construidos ^ 5 habitaciones ^ 3 baños ^ Terraza ^ Segunda mano/para reformar ^ Certificación energética: en trámite ^^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Jardín ^^^^^ alcalde de mostoles^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^269000
35603271^ 69 m² construidos, 55 m² útiles ^ 2 habitaciones ^ 1 baño ^ Plaza de garaje incluida en el precio ^ Segunda mano/buen estado ^ Armarios empotrados ^ Trastero ^ Orientación este ^ Construido en 2010 ^ Certificación energética:  (106 kWh/m² año) ^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Jardín ^^^^^Calle Andrómeda, 31^ Distrito Sur ^ Móstoles ^ Zona sur, Madrid ^^^^^^122900
35703178^ 75 m² construidos, 60 m² útiles ^ 3 habitaciones ^ 1 baño ^ Terraza ^ Segunda mano/buen estado ^ Armarios empotrados ^ Construido en 1972 ^ Certificación energética:  (IPE no indicado) ^^^^^^^^^ Planta 5ª exterior ^ Sin ascensor ^^^^^^^^Calle de la carrera s/n^ Distrito Centro ^ Móstoles ^ Zona sur, Madrid ^^^^^^71300
35735293^ 121 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Promoción de obra nueva ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^250400
35735299^ 121 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^270400
35735301^ 121 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 6ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^275400
35736460^ 151 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^295000
35736461^ 121 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 1ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^237600
35736463^ 151 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 2ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^300000
35736465^ 120 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 3ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^258400
35736602^ 151 m² construidos ^ 4 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^310000
35736603^ 121 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 4ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^252600
35736604^ 120 m² construidos ^ 3 habitaciones ^ 2 baños ^ Terraza ^ Plaza de garaje incluida en el precio ^ Trastero ^ Certificación energética de proyecto: no indicado ^^^^^^^^^^ Planta 5ª exterior ^ Con ascensor ^^^ Aire acondicionado ^ Piscina ^ Jardín ^^^Paseo De goya, 13^ Distrito Norte - Universidad ^ Móstoles ^ Zona sur, Madrid ^^^^^^268400
